Player,Average
Prashant Veer,45.0
Sanju Samson,43.36
Shivam Dube,38.57
Jamie Overton,34.0
Ayush Mhatre,33.5
Kartik Sharma,32.77
Anshul Kamboj,29.0
Ruturaj Gaikwad,28.08
Sarfaraz Khan,23.0
Matthew Short,20.0
Dewald Brevis,18.87
Urvil Patel,18.42
Noor Ahmad,3.66
Matt Henry,3.5
Spencer Johnson,0.0
Akeal Hosein,3.0
Mukesh Choudhary,2.0
Khaleel Ahmed,0.0
Deepak Chahar,0.0
Ramakrishna Ghosh,0.0
Gurjapneet Singh,0.0
KL Rahul,45.61
Sameer Rizvi,36.0
David Miller,35.16
Tristan Stubbs,34.37
Ashutosh Sharma,34.2
Pathum Nissanka,27.8
Abishek Porel,27.0
Nitish Rana,25.0
Axar Patel,19.22
Vipraj Nigam,15.0
Auqib Nabi,14.0
Kyle Jamieson,12.0
Sahil Parakh,11.5
Karun Nair,9.0
Kuldeep Yadav,3.0
Lungi Ngidi,2.0
Mitchell Starc,0.0
Manish Tiwari,18.0
T Natarajan,1.0
Dushmantha Chameera,0.0
Mukesh Kumar,0.0
T Vijay,0.0
Shubman Gill,45.75
Sai Sudharsan,45.12
Washington Sundar,37.7
Jos Buttler,37.57
Rahul Tewatia,27.14
Kagiso Rabada,23.5
Arshad Khan,23.0
Kumar Kushagra,18.0
Glenn Phillips,16.75
Jason Holder,13.0
Nishant Sindhu,12.6
Rashid Khan,12.5
Shahrukh Khan,10.75
Mohammed Siraj,2.5
Prasidh Krishna,6.0
Ashok Sharma,1.0
Karim Khejroliya,0.0
R Sai Kishore,0.0
Manav Suthar,0.0
Rinku Singh,59.0
Angkrish Raghuvanshi,42.2
Rovman Powell,38.0
Manish Pandey,35.0
Finn Allen,34.9
Cameron Green,32.2
Ajinkya Rahane,25.76
Ramandeep Singh,16.4
Sunil Narine,13.33
Anukul Roy,13.0
Tim Seifert,6.33
Tejasvi Dahiya,6.0
Kartik Tyagi,3.66
Varun Chakaravarthy,2.5
Saurabh Dubey,4.0
Vaibhav Arora,1.0
Blessing Muzarabani,0.0
Matheesha Pathirana,0.0
Navdeep Saini,0.0
Josh Inglis,53.2
Mitchell Marsh,43.3
Himmat Singh,30.66
Rishabh Pant,28.36
Mukul Choudhary,28.33
Aiden Markram,25.66
Ayush Badoni,21.5
Abdul Samad,19.33
Nicholas Pooran,18.0
Akshat Raghuwanshi,14.5
George Linde,10.33
Arshin Kulkarni,8.5
Mohammed Shami,6.2
Avesh Khan,6.0
Mayank Yadav,5.0
Mohsin Khan,0.0
Anrich Nortje,0.0
Shahbaz Ahmed,43.0
Arjun Tendulkar,5.0
Digvesh Rathi,2.0
Akash Singh,0.0
Prince Yadav,0.0
Manimaran Siddharth,0.0
Quinton de Kock,66.0
Corbin Bosch,50.0
Ryan Rickelton,40.72
Rohit Sharma,35.37
Tilak Varma,29.91
Will Jacks,27.8
Naman Dhir,26.5
Sherfane Rutherford,24.6
Hardik Pandya,22.88
Suryakumar Yadav,20.76
Raj Bawa,16.0
Deepak Chahar,12.5
Shardul Thakur,12.0
Krish Bhagat,10.0
Trent Boult,8.0
Jasprit Bumrah,7.0
Reeza Minz,6.0
Dhrumil Malewar,1.0
Mitchell Santner,18.0
Allah Mohammad Ghazanfar,2.0
Ashwani Kumar,1.0
Mayank Markande,0.0
Mayank Rawat,0.0
Raghu Sharma,0.0
Shreyas Iyer,55.33
Cooper Connolly,44.63
Prabhsimran Singh,42.5
Suryansh Shedge,39.5
Marcus Stoinis,36.0
Xavier Bartlett,29.0
Priyansh Arya,28.0
Azmatullah Omarzai,26.0
Shashank Singh,22.0
Marco Jansen,12.75
Nehal Wadhera,10.83
Vishnu Vinod,15.0
Harpreet Brar,5.0
Vyshak Vijaykumar,1.0
Arshdeep Singh,1.0
Yuzvendra Chahal,0.0
Ben Dwarshuis,0.0
Lockie Ferguson,0.0
Yash Thakur,0.0
Ravindra Jadeja,66.5
Vaibhav Sooryavanshi,48.5
Dhruv Jurel,36.78
Donovan Ferreira,35.22
Yashasvi Jaiswal,30.5
Riyan Parag,23.76
Shubham Dubey,20.25
Nandre Burger,14.0
Shimron Hetmyer,13.0
Tushar Deshpande,13.0
Dasun Shanaka,12.6
Jofra Archer,10.66
Ravi Singh,4.0
Lhuan-dre Pretorius,3.5
Ravi Bishnoi,0.0
Brijesh Sharma,1.0
Adam Milne,2.0
Sushant Mishra,1.0
Sandeep Sharma,0.0
Yash Raj Punja,0.0
Virat Kohli,56.25
Venkatesh Iyer,52.25
Rajat Patidar,41.75
Krunal Pandya,37.66
Tim David,33.88
Phil Salt,33.66
Devdutt Padikkal,33.14
Romario Shepherd,20.75
Jacob Bethell,13.71
Jitesh Sharma,12.88
Josh Hazlewood,0.0
Bhuvneshwar Kumar,15.0
Rasikh Salam Dar,3.0
Abhinandan Singh,0.0
Jacob Duffy,0.0
Suyash Sharma,0.0
Heinrich Klaasen,48.0
Abhishek Sharma,40.21
Ishan Kishan,40.13
Nitish Kumar Reddy,30.2
Travis Head,27.33
Salil Arora,22.28
Aniket Verma,13.16
Pat Cummins,10.0
Shivang Kumar,8.83
Liam Livingstone,7.5
Eshan Malinga,7.0
Harsh Dubey,6.5
Ravichandran Smaran,6.33
Harshvardhan Patel,3.33
Pranav Hinge,3.0
David Payne,6.0
Sakib Hussain,5.0
Jaydev Unadkat,4.0
Dilshan Madushanka,0.0
