venue_name,pitch_surface_type,pitch_characteristics,typical_score_range,second_innings_behavior,weather_conditions,thriving_bowler_type
"Arun Jaitley Stadium, Delhi",Black soil,"Flat batting, bounce level medium-low, small boundaries",180-210,Stays good for batting; dew reduces any initial friction or grip,"High humidity, significant dew factor, minimal wind","Cutters, variations, hard-length pacers"
"Barsapara Cricket Stadium, Guwahati",Grassy/loam blend,"Flat batting, true bounce, pace friendly",180-205,"Becomes a complete batting paradise as heavy dew sets in, rendering spinners ineffective","High humidity, heavy evening dew, cool breeze","Express pace, skiddy swing bowlers"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Red and Black soil (multi-pitch),"Spin friendly on black soil, flat/balanced batting on red soil pitches",155-175,Can slow down and offer lower bounce on older pitches; chasing is slightly tricky if dew is minimal,"Moderate humidity, mild dew factor depending on the pitch used","Spin, slow left-arm orthodox, wrist spin, off-cutters"
"Eden Gardens, Kolkata",Black soil with light grass cover,"Flat batting, good bounce, pace friendly, fast outfield",185-215,Remains excellent for batting; ball skids along smoothly onto the bat under the lights,"Humid, noticeable dew factor, coastal breeze","Pace, hard-length seamers, mystery spin"
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Grassy/loam,"Pace friendly, high bounce level, excellent seam movement",170-195,Ball zips around even more under lights due to cooler air; dew can appear late,"Cool temperature, low humidity, strong evening winds","Swing, express pace, back-of-a-length seamers"
"M.Chinnaswamy Stadium, Bengaluru",Red soil,"Flat batting, high bounce, small boundaries, exceptionally fast outfield",190-220,"Rarely deteriorates; stays highly conducive to chasing, assisted by evening dew","Moderate humidity, light dew, clear evening skies","High-pace heavy balls, defensive wrist spin"
"MA Chidambaram Stadium, Chennai",Red soil / heavy clay mix,"Spin friendly, slow/gripping surface, lower bounce level",160-180,"Tends to get slower and take more turn; however, heavy dew can occasionally neutralize spin in late innings","Very high humidity, variable dew factor, sea breeze","Finger spinners, wrist spinners, medium-pace cutters"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Black soil dominant,"Flat batting, true carry, high scoring",170-195,Skids better onto the bat in the second innings; dew makes chasing relatively easy,"Dry heat transitioning to humid nights, moderate dew","Hit-the-deck pacers, defensive spinners"
"Narendra Modi Stadium, Ahmedabad",Red soil and Black soil variants,Red soil pitches offer bounce/turn; black soil pitches are flat batting wickets,175-195,"Stays reliable, though black soil tracks become easier to bat on under lights as dew settles","Dry atmospheric conditions, late-evening dew, open bowl stadium wind","Hard-length pacers, variation bowlers, wrist spinners"
"Rajiv Gandhi International Stadium, Hyderabad",Black soil,"Flat batting, true bounce, great for stroke-making",180-210,Maintains its structure; does not deteriorate significantly but dew eases chasing,"Warm and dry early, rising humidity, moderate dew","Pace with variations, skiddy spinners"
"Sawai Mansingh Stadium, Jaipur",Clay-heavy loam mix,"Balanced/flat batting, big boundaries, square boundaries hard to clear",165-185,"Stays consistent, but chasing holds a massive advantage because of heavy outfield dew","Dry desert air early evening, heavy dew later in the night","Seam bowlers hitting the hard lengths, spinners utilizing larger side boundaries"
"Shaheed Veer Narayan Singh International Stadium, Raipur",Black soil blend,"Balanced contest, early seam movement, reliable bounce once settled",155-175,"Batting becomes significantly easier as dew settles on the massive outfield, aiding the chase","Moderate humidity, heavy evening dew factor","Pace/swing early on, economical finger spinners"
"Wankhede Stadium, Mumbai",Red soil,"Pace friendly, high bounce, flat batting, short boundaries",185-215,Becomes incredibly skiddy and lightning fast for chasing; dew actively harms bowlers,"High coastal humidity, heavy dew factor, steady sea breeze","Swing bowlers early on, high-pace hit-the-deck quicks"
